treat,age,educ,black,hisp,married,nodegr,re74,re75,re78
0.00,21.00,12.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0.00,44.00,9.00,0.00,1.00,1.00,1.00,15390.04,14886.53,12634.56
0.00,26.00,10.00,0.00,1.00,1.00,1.00,17125.95,17446.69,13518.24
0.00,54.00,4.00,0.00,1.00,1.00,1.00,13350.44,13180.35,13741.38
0.00,42.00,12.00,0.00,1.00,1.00,0.00,21663.61,22013.81,19941.92
0.00,25.00,12.00,0.00,0.00,0.00,0.00,8105.49,11869.84,6170.99
0.00,20.00,13.00,0.00,0.00,0.00,0.00,317.40,214.84,0.00
0.00,44.00,11.00,0.00,0.00,1.00,1.00,25862.32,25243.55,25564.67
0.00,33.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,40.00,12.00,0.00,0.00,1.00,0.00,25862.32,14494.45,25564.67
0.00,25.00,16.00,0.00,0.00,1.00,0.00,21048.40,22916.13,23574.17
0.00,33.00,12.00,0.00,0.00,0.00,0.00,12694.09,13046.08,11264.71
0.00,52.00,13.00,1.00,0.00,0.00,0.00,19827.78,19668.48,18437.59
0.00,54.00,14.00,0.00,0.00,1.00,0.00,24686.76,25243.55,25564.67
0.00,27.00,15.00,0.00,0.00,0.00,0.00,19200.81,19303.26,18207.07
0.00,51.00,10.00,0.00,0.00,1.00,1.00,7488.32,7888.16,6148.82
0.00,42.00,12.00,0.00,0.00,1.00,0.00,6502.81,15241.02,15468.84
0.00,50.00,10.00,0.00,0.00,1.00,1.00,25862.32,25243.55,25564.67
0.00,47.00,10.00,0.00,0.00,1.00,1.00,15282.28,13964.52,9043.69
0.00,28.00,12.00,0.00,0.00,1.00,0.00,24224.37,11019.44,20055.71
0.00,33.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,33.00,13.00,0.00,0.00,1.00,0.00,21146.37,18732.15,22254.56
0.00,55.00,16.00,0.00,0.00,1.00,0.00,25862.32,24627.68,25564.67
0.00,38.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,39.00,16.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,27.00,17.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,16.00,9.00,0.00,0.00,0.00,1.00,378.14,467.27,4306.10
0.00,35.00,12.00,0.00,0.00,1.00,0.00,6645.83,3331.79,0.00
0.00,35.00,12.00,0.00,0.00,1.00,0.00,22421.85,21093.58,23590.43
0.00,45.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,0.00
0.00,51.00,11.00,0.00,0.00,1.00,1.00,18270.16,21637.84,20267.02
0.00,27.00,16.00,0.00,0.00,0.00,0.00,11316.73,1761.68,5532.61
0.00,28.00,14.00,0.00,0.00,1.00,0.00,0.00,0.00,18719.84
0.00,35.00,18.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,39.00,10.00,0.00,0.00,1.00,1.00,18534.66,0.00,21496.49
0.00,33.00,12.00,0.00,0.00,0.00,0.00,25862.32,25243.55,25564.67
0.00,52.00,16.00,0.00,0.00,1.00,0.00,25862.32,25241.76,12429.16
0.00,22.00,13.00,0.00,0.00,0.00,0.00,5023.56,6819.34,13943.83
0.00,25.00,12.00,0.00,0.00,1.00,0.00,20070.73,11117.90,19003.56
0.00,28.00,16.00,0.00,0.00,1.00,0.00,25013.96,22710.24,0.00
0.00,27.00,16.00,0.00,0.00,1.00,0.00,16888.88,16200.63,17295.31
0.00,30.00,13.00,0.00,0.00,0.00,0.00,8362.15,7990.21,8590.03
0.00,28.00,15.00,0.00,0.00,0.00,0.00,9672.90,8085.10,14348.73
0.00,24.00,12.00,0.00,0.00,1.00,0.00,19083.26,18270.24,22261.95
0.00,29.00,11.00,1.00,0.00,0.00,1.00,14743.48,14954.56,13714.78
0.00,49.00,7.00,1.00,0.00,0.00,1.00,16444.13,16028.76,15965.36
0.00,22.00,12.00,0.00,0.00,1.00,0.00,13352.40,14358.39,17051.49
0.00,30.00,16.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,45.00,12.00,0.00,0.00,1.00,0.00,24185.19,25243.55,0.00
0.00,44.00,12.00,0.00,0.00,1.00,0.00,24669.13,24418.21,25564.67
0.00,21.00,12.00,0.00,0.00,0.00,0.00,11465.63,1953.24,25564.67
0.00,26.00,13.00,0.00,0.00,1.00,0.00,11661.56,4142.81,18650.39
0.00,25.00,16.00,0.00,0.00,1.00,0.00,18822.68,20112.48,20986.67
0.00,45.00,8.00,0.00,0.00,1.00,1.00,16883.00,15316.21,17010.11
0.00,19.00,9.00,0.00,0.00,0.00,1.00,3311.16,10525.31,1693.48
0.00,55.00,9.00,0.00,0.00,1.00,1.00,12609.84,12349.65,12201.59
0.00,22.00,12.00,0.00,0.00,1.00,0.00,12423.71,13035.34,17482.98
0.00,37.00,18.00,0.00,0.00,1.00,0.00,0.00,16735.94,25564.67
0.00,38.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25298.68
0.00,29.00,13.00,0.00,0.00,1.00,0.00,17962.56,11590.55,2639.22
0.00,43.00,8.00,0.00,0.00,1.00,1.00,21044.48,25243.55,1301.88
0.00,51.00,10.00,0.00,0.00,1.00,1.00,25862.32,19817.08,4.43
0.00,25.00,14.00,0.00,0.00,1.00,0.00,11769.32,11624.56,13903.93
0.00,52.00,12.00,0.00,0.00,1.00,0.00,20776.07,20808.92,10394.33
0.00,26.00,14.00,0.00,0.00,1.00,0.00,22886.20,24523.84,25564.67
0.00,37.00,18.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,36.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,27.00,14.00,0.00,0.00,1.00,0.00,6395.05,18513.73,21258.57
0.00,21.00,11.00,0.00,0.00,1.00,1.00,20817.21,25243.55,25564.67
0.00,44.00,12.00,0.00,0.00,1.00,0.00,22686.35,0.00,19081.88
0.00,49.00,17.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,32.00,0.00,0.00,0.00,0.00,1.00,4559.21,3976.31,7246.77
0.00,23.00,12.00,0.00,0.00,1.00,0.00,16593.03,17622.15,22872.25
0.00,46.00,12.00,0.00,0.00,1.00,0.00,18636.55,18214.74,20485.72
0.00,17.00,10.00,0.00,0.00,0.00,1.00,0.00,1536.10,19808.92
0.00,26.00,12.00,0.00,0.00,1.00,0.00,19067.58,24849.68,22545.67
0.00,27.00,12.00,0.00,0.00,1.00,0.00,19637.73,8178.19,25564.67
0.00,30.00,15.00,0.00,0.00,1.00,0.00,23871.71,25243.55,25564.67
0.00,23.00,12.00,0.00,0.00,0.00,0.00,23826.64,24942.77,25523.29
0.00,22.00,12.00,0.00,0.00,1.00,0.00,13540.49,21766.74,25564.67
0.00,30.00,18.00,0.00,0.00,1.00,0.00,23127.19,23580.34,25564.67
0.00,32.00,14.00,0.00,0.00,1.00,0.00,20145.18,15941.03,25564.67
0.00,27.00,14.00,0.00,0.00,0.00,0.00,15576.17,24706.45,25564.67
0.00,18.00,12.00,0.00,0.00,0.00,0.00,4729.67,3328.21,12602.05
0.00,33.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,25564.67
0.00,22.00,11.00,0.00,0.00,0.00,1.00,5325.29,1061.66,0.00
0.00,23.00,16.00,0.00,0.00,0.00,0.00,2358.96,0.00,3270.21
0.00,51.00,10.00,0.00,0.00,1.00,1.00,19030.36,17532.63,0.00
0.00,21.00,15.00,0.00,0.00,0.00,0.00,2470.64,5116.74,10890.84
0.00,18.00,12.00,0.00,0.00,0.00,0.00,9065.53,9338.32,7972.34
0.00,53.00,10.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
0.00,21.00,12.00,0.00,0.00,0.00,0.00,4055.68,1867.31,0.00
0.00,32.00,16.00,0.00,0.00,1.00,0.00,22525.69,22712.03,25564.67
0.00,41.00,12.00,0.00,0.00,1.00,0.00,25862.32,24745.84,25564.67
0.00,48.00,12.00,0.00,0.00,0.00,0.00,25862.32,25243.55,25564.67
0.00,25.00,18.00,0.00,0.00,0.00,0.00,2351.12,211.26,25564.67
0.00,23.00,16.00,0.00,0.00,0.00,0.00,913.02,8675.90,14265.97
0.00,30.00,12.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0.00,22.00,12.00,0.00,0.00,1.00,0.00,1806.44,7114.74,0.00
0.00,44.00,10.00,0.00,0.00,1.00,1.00,5940.50,2739.19,2167.83
0.00,17.00,11.00,0.00,0.00,0.00,1.00,2447.12,3267.34,7942.78
0.00,23.00,12.00,0.00,0.00,0.00,0.00,331.12,0.00,594.05
0.00,47.00,8.00,0.00,0.00,1.00,1.00,25168.74,22651.16,24401.70
0.00,54.00,12.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0.00,49.00,8.00,0.00,0.00,1.00,1.00,11408.81,3709.55,19136.56
0.00,36.00,18.00,0.00,0.00,1.00,0.00,23742.40,25243.55,25564.67
0.00,33.00,14.00,0.00,0.00,1.00,0.00,24951.26,23277.77,25564.67
0.00,43.00,15.00,0.00,0.00,1.00,0.00,19386.95,25207.74,22579.66
0.00,37.00,10.00,0.00,0.00,0.00,1.00,17235.67,18397.35,0.00
0.00,48.00,12.00,0.00,0.00,0.00,0.00,16536.21,16605.24,16713.09
0.00,54.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,28.00,16.00,0.00,0.00,0.00,0.00,92.09,0.00,626.56
0.00,35.00,3.00,0.00,0.00,1.00,1.00,19620.10,20361.34,15347.67
0.00,55.00,12.00,0.00,0.00,1.00,0.00,14696.46,3134.86,0.00
0.00,53.00,7.00,0.00,0.00,1.00,1.00,22308.21,21521.47,10159.37
0.00,25.00,12.00,0.00,0.00,1.00,0.00,19888.52,17756.42,14422.61
0.00,30.00,8.00,0.00,0.00,1.00,1.00,18691.41,15543.58,22984.56
0.00,44.00,5.00,0.00,0.00,0.00,1.00,12764.62,9442.16,6224.18
0.00,44.00,6.00,0.00,0.00,1.00,1.00,25862.32,15217.74,25564.67
0.00,20.00,10.00,0.00,0.00,0.00,1.00,3814.69,5234.90,5021.32
0.00,49.00,9.00,0.00,0.00,1.00,1.00,17147.50,12747.10,12683.33
0.00,55.00,8.00,0.00,0.00,1.00,1.00,5619.18,5449.74,23559.39
0.00,51.00,16.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,24.00,16.00,0.00,0.00,0.00,0.00,9692.49,16012.65,7326.57
0.00,54.00,10.00,0.00,0.00,1.00,1.00,25055.10,25243.55,22154.08
0.00,32.00,16.00,1.00,0.00,0.00,0.00,17135.75,1031.23,0.00
0.00,19.00,4.00,0.00,1.00,1.00,1.00,2298.22,1786.74,11607.54
0.00,36.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,55.00,10.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
0.00,25.00,12.00,0.00,0.00,1.00,0.00,8679.55,17666.90,17465.25
0.00,26.00,18.00,0.00,0.00,1.00,0.00,0.00,8414.52,22867.82
0.00,19.00,13.00,0.00,0.00,0.00,0.00,5060.79,5182.98,16382.08
0.00,52.00,11.00,0.00,0.00,1.00,1.00,25862.32,25243.55,23290.45
0.00,19.00,12.00,0.00,0.00,0.00,0.00,4335.86,4687.07,21407.82
0.00,17.00,11.00,0.00,0.00,0.00,1.00,43.10,0.00,14911.74
0.00,23.00,10.00,0.00,0.00,1.00,1.00,10595.71,1462.69,11861.71
0.00,44.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,28.00,12.00,0.00,0.00,1.00,0.00,13095.74,4998.58,9376.18
0.00,49.00,8.00,0.00,0.00,1.00,1.00,17911.62,23684.18,9464.84
0.00,54.00,10.00,0.00,0.00,1.00,1.00,14522.09,8738.57,8486.58
0.00,22.00,11.00,0.00,0.00,0.00,1.00,5656.40,0.00,3895.29
0.00,33.00,13.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,40.00,12.00,0.00,0.00,0.00,0.00,20468.46,6205.26,22680.15
0.00,47.00,12.00,0.00,0.00,1.00,0.00,25862.32,20522.47,24505.14
0.00,21.00,12.00,0.00,0.00,0.00,0.00,9792.42,2169.87,14998.92
0.00,17.00,10.00,0.00,0.00,0.00,1.00,0.00,0.00,1384.63
0.00,16.00,9.00,0.00,0.00,0.00,1.00,0.00,1346.32,6705.92
0.00,40.00,12.00,0.00,0.00,1.00,0.00,15435.10,12927.92,13061.63
0.00,36.00,12.00,0.00,0.00,1.00,0.00,25241.23,25243.55,25564.67
0.00,51.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,46.00,9.00,0.00,0.00,1.00,1.00,25062.94,25166.56,25097.71
0.00,33.00,18.00,0.00,0.00,1.00,0.00,23421.08,25243.55,18505.57
0.00,28.00,13.00,0.00,0.00,1.00,0.00,24771.01,21333.48,14323.60
0.00,27.00,11.00,0.00,0.00,1.00,1.00,14267.38,12829.45,18693.24
0.00,33.00,12.00,0.00,0.00,0.00,0.00,25862.32,25243.55,21944.24
0.00,26.00,12.00,0.00,0.00,1.00,0.00,16822.26,19978.21,20015.81
0.00,24.00,12.00,0.00,0.00,1.00,0.00,16103.21,8922.97,16470.74
0.00,28.00,8.00,0.00,0.00,1.00,1.00,16450.00,18300.68,23494.37
0.00,36.00,12.00,0.00,0.00,1.00,0.00,23912.85,23274.19,25378.48
0.00,42.00,12.00,0.00,0.00,1.00,0.00,21473.56,22060.35,23426.40
0.00,16.00,10.00,0.00,0.00,0.00,1.00,0.00,0.00,1399.41
0.00,53.00,14.00,0.00,0.00,1.00,0.00,22995.91,16304.47,0.00
0.00,52.00,10.00,0.00,0.00,1.00,1.00,17329.71,16193.47,20247.81
0.00,22.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,55.00,14.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,26.00,14.00,0.00,0.00,1.00,0.00,9927.61,13396.98,10757.85
0.00,38.00,12.00,0.00,0.00,1.00,0.00,2400.10,0.00,0.00
0.00,43.00,12.00,0.00,0.00,1.00,0.00,14328.12,3453.53,18781.90
0.00,55.00,7.00,0.00,0.00,1.00,1.00,18660.06,16768.16,19438.02
0.00,49.00,10.00,0.00,0.00,1.00,1.00,24083.31,22758.58,25232.18
0.00,20.00,12.00,0.00,0.00,0.00,0.00,9578.86,15727.98,18666.64
0.00,18.00,10.00,0.00,0.00,0.00,1.00,0.00,0.00,6478.35
0.00,31.00,16.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,54.00,18.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,28.00,12.00,0.00,0.00,1.00,0.00,20676.14,4072.98,17289.40
0.00,24.00,12.00,0.00,0.00,1.00,0.00,18979.42,20959.31,17657.35
0.00,21.00,8.00,0.00,0.00,0.00,1.00,18432.78,6778.16,9376.18
0.00,39.00,8.00,0.00,0.00,1.00,1.00,24163.64,20937.82,25564.67
0.00,28.00,12.00,0.00,0.00,1.00,0.00,23569.98,21926.08,25564.67
0.00,40.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,23653.97
0.00,38.00,7.00,0.00,0.00,1.00,1.00,22306.25,18866.42,22192.50
0.00,16.00,10.00,0.00,0.00,0.00,1.00,0.00,520.98,9925.89
0.00,43.00,12.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0.00,49.00,12.00,0.00,0.00,1.00,0.00,24812.15,23202.58,21153.66
0.00,28.00,14.00,0.00,0.00,0.00,0.00,19316.41,18626.52,20002.51
0.00,22.00,12.00,0.00,0.00,0.00,0.00,15341.06,14904.44,25564.67
0.00,39.00,12.00,0.00,0.00,1.00,0.00,7455.01,8512.98,9862.35
0.00,27.00,16.00,0.00,0.00,1.00,0.00,21062.12,24824.61,12514.87
0.00,21.00,12.00,0.00,0.00,0.00,0.00,15658.46,8115.53,15937.28
0.00,48.00,11.00,0.00,0.00,1.00,1.00,25862.32,25243.55,23724.90
0.00,30.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,20.00,12.00,0.00,0.00,1.00,0.00,11510.69,8185.36,10026.37
0.00,20.00,13.00,0.00,0.00,0.00,0.00,0.00,630.19,13858.12
0.00,18.00,12.00,0.00,0.00,0.00,0.00,658.31,1432.26,0.00
0.00,23.00,12.00,0.00,1.00,0.00,0.00,5817.06,18105.53,8876.70
0.00,33.00,12.00,0.00,0.00,1.00,0.00,18303.47,13875.00,12640.47
0.00,31.00,12.00,0.00,0.00,1.00,0.00,21610.71,21537.58,25564.67
0.00,28.00,12.00,1.00,0.00,0.00,0.00,4700.28,0.00,731.47
0.00,30.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,23.00,13.00,1.00,0.00,0.00,0.00,172.42,272.13,582.22
0.00,38.00,12.00,0.00,0.00,1.00,0.00,10384.11,11637.10,15959.45
0.00,37.00,12.00,1.00,0.00,1.00,0.00,18826.59,21573.39,18147.96
0.00,16.00,10.00,0.00,0.00,0.00,1.00,658.31,630.19,5127.71
0.00,18.00,10.00,0.00,0.00,0.00,1.00,0.00,2474.23,0.00
0.00,47.00,9.00,0.00,0.00,1.00,1.00,19978.64,19203.00,23970.20
0.00,17.00,9.00,0.00,0.00,0.00,1.00,0.00,3992.42,10248.03
0.00,35.00,12.00,1.00,0.00,1.00,0.00,17241.55,15717.24,18050.43
0.00,19.00,7.00,0.00,1.00,0.00,1.00,1250.01,0.00,8199.91
0.00,36.00,9.00,1.00,0.00,1.00,1.00,18904.97,18938.03,10997.24
0.00,41.00,8.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
0.00,54.00,12.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0.00,51.00,18.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,55.00,15.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,29.00,16.00,0.00,0.00,1.00,0.00,1657.54,5129.27,8808.73
0.00,46.00,16.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,30.00,14.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,28.00,14.00,1.00,0.00,1.00,0.00,23039.02,22575.97,23093.91
0.00,48.00,12.00,1.00,0.00,1.00,0.00,24196.95,22110.48,21899.91
0.00,26.00,11.00,1.00,0.00,0.00,1.00,20834.84,19444.69,21891.04
0.00,32.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,23587.47
0.00,50.00,12.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0.00,20.00,11.00,0.00,0.00,0.00,1.00,11207.01,12424.84,13012.86
0.00,21.00,12.00,0.00,0.00,0.00,0.00,11647.84,14832.82,20666.01
0.00,20.00,9.00,0.00,0.00,0.00,1.00,4298.63,8797.65,8962.41
0.00,32.00,4.00,0.00,1.00,0.00,1.00,14819.89,15457.65,12033.13
0.00,46.00,12.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0.00,18.00,12.00,0.00,0.00,0.00,0.00,2360.92,1752.73,2748.57
0.00,51.00,12.00,0.00,0.00,1.00,0.00,22355.23,21793.60,3251.00
0.00,32.00,15.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,26.00,16.00,0.00,0.00,1.00,0.00,8375.87,10607.66,4047.49
0.00,24.00,15.00,0.00,0.00,0.00,0.00,1058.00,0.00,9436.76
0.00,46.00,8.00,0.00,0.00,1.00,1.00,24001.02,23990.32,3923.36
0.00,21.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,20668.96
0.00,32.00,16.00,0.00,0.00,1.00,0.00,25033.55,25243.55,25564.67
0.00,30.00,18.00,0.00,0.00,0.00,0.00,25862.32,9657.00,7725.56
0.00,25.00,18.00,0.00,0.00,1.00,0.00,5364.47,8772.58,25564.67
0.00,51.00,12.00,0.00,0.00,1.00,0.00,20754.51,19199.42,22566.36
0.00,21.00,9.00,0.00,1.00,1.00,1.00,7249.29,9968.52,16627.38
0.00,34.00,18.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,29.00,5.00,0.00,0.00,1.00,1.00,25862.32,25243.55,25564.67
0.00,52.00,12.00,0.00,0.00,1.00,0.00,9051.81,4978.89,0.00
0.00,21.00,14.00,0.00,0.00,0.00,0.00,8489.50,10167.24,0.00
0.00,17.00,10.00,0.00,0.00,0.00,1.00,3520.80,4336.16,0.00
0.00,50.00,8.00,0.00,1.00,0.00,1.00,14892.39,13348.65,10791.84
0.00,21.00,11.00,1.00,0.00,0.00,1.00,1890.69,1369.60,16685.01
0.00,49.00,12.00,0.00,1.00,1.00,0.00,21365.80,21023.76,25045.99
0.00,23.00,18.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0.00,17.00,12.00,0.00,1.00,0.00,0.00,946.33,1378.55,0.00
0.00,52.00,3.00,1.00,0.00,1.00,1.00,12688.21,12655.79,9377.65
0.00,47.00,4.00,0.00,1.00,1.00,1.00,8889.19,12297.73,17076.61
0.00,24.00,4.00,0.00,1.00,1.00,1.00,8426.81,17034.92,25279.47
0.00,29.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,49.00,12.00,0.00,0.00,1.00,0.00,6297.08,4253.81,10169.71
0.00,55.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,564.49
0.00,28.00,12.00,0.00,0.00,0.00,0.00,25525.33,25243.55,25564.67
0.00,19.00,13.00,0.00,0.00,0.00,0.00,3871.51,4916.23,1687.56
0.00,35.00,16.00,0.00,0.00,0.00,0.00,25803.54,25243.55,25564.67
0.00,31.00,12.00,0.00,0.00,1.00,0.00,20572.30,18916.55,15102.37
0.00,44.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,54.00,11.00,0.00,0.00,1.00,1.00,24312.54,24692.13,0.00
0.00,37.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,46.00,12.00,0.00,0.00,1.00,0.00,11978.96,10460.85,8331.42
0.00,29.00,12.00,1.00,0.00,1.00,0.00,18107.54,14136.39,16046.63
0.00,55.00,12.00,0.00,0.00,1.00,0.00,16109.09,14002.11,14682.69
0.00,22.00,12.00,0.00,0.00,0.00,0.00,15956.27,17423.42,22739.26
0.00,18.00,11.00,0.00,0.00,0.00,1.00,0.00,309.73,16760.37
0.00,32.00,13.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,51.00,12.00,0.00,0.00,1.00,0.00,101.88,0.00,0.00
0.00,49.00,12.00,0.00,0.00,1.00,0.00,25862.32,14965.31,24521.39
0.00,27.00,16.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,19.00,13.00,0.00,0.00,0.00,0.00,10147.04,10546.79,5906.47
0.00,38.00,3.00,0.00,0.00,1.00,1.00,25862.32,25243.55,25564.67
0.00,40.00,12.00,0.00,0.00,1.00,0.00,23360.34,22221.48,25564.67
0.00,21.00,12.00,0.00,0.00,0.00,0.00,6344.11,6719.08,25012.00
0.00,29.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,39.00,12.00,0.00,0.00,1.00,0.00,25862.32,25243.55,0.00
0.00,39.00,12.00,1.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,34.00,14.00,0.00,0.00,1.00,0.00,9580.82,14881.16,25564.67
0.00,26.00,17.00,0.00,0.00,1.00,0.00,25862.32,21503.56,0.00
0.00,40.00,18.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,31.00,14.00,0.00,0.00,0.00,0.00,2188.50,4937.71,2358.45
0.00,28.00,17.00,0.00,0.00,1.00,0.00,25862.32,25243.55,25564.67
0.00,17.00,11.00,0.00,0.00,0.00,1.00,0.00,1033.02,6345.36
0.00,35.00,12.00,1.00,0.00,1.00,0.00,21689.08,21542.95,21033.96
0.00,34.00,15.00,0.00,1.00,1.00,0.00,18632.63,24520.26,0.00
0.00,44.00,8.00,0.00,0.00,1.00,1.00,25862.32,17681.23,20612.81
0.00,54.00,8.00,0.00,0.00,1.00,1.00,25276.50,22241.18,25564.67
