AreaCode,Area,Year,Series,Value
51,Armenia,2005,"Percentage of male and female intentional homicide victims, Female",0.7
51,Armenia,2005,"Assault rate per 100,000 population",6
51,Armenia,2005,"Kidnapping at the national level, rate per 100,000",0.7
51,Armenia,2005,"Theft at the national level, rate per 100,000 population",81.7
51,Armenia,2005,"Robbery at the national level, rate per 100,000 population",8.9
51,Armenia,2005,"Total Sexual Violence at the national level, rate per 100,000",1.7
51,Armenia,2010,"Intentional homicide rates per 100,000",1.9
51,Armenia,2010,"Percentage of male and female intentional homicide victims, Male",3.4
51,Armenia,2010,"Percentage of male and female intentional homicide victims, Female",0.7
51,Armenia,2010,"Assault rate per 100,000 population",5.2
51,Armenia,2010,"Kidnapping at the national level, rate per 100,000",1.3
51,Armenia,2010,"Theft at the national level, rate per 100,000 population",123.6
51,Armenia,2010,"Robbery at the national level, rate per 100,000 population",12
51,Armenia,2010,"Total Sexual Violence at the national level, rate per 100,000",2.8
51,Armenia,2012,"Intentional homicide rates per 100,000",2.3
51,Armenia,2012,"Percentage of male and female intentional homicide victims, Male",3.4
51,Armenia,2012,"Percentage of male and female intentional homicide victims, Female",1.2
51,Armenia,2012,"Assault rate per 100,000 population",5.3
51,Armenia,2012,"Kidnapping at the national level, rate per 100,000",1.3
51,Armenia,2012,"Theft at the national level, rate per 100,000 population",134.9
51,Armenia,2012,"Robbery at the national level, rate per 100,000 population",10.4
51,Armenia,2012,"Total Sexual Violence at the national level, rate per 100,000",3.5
51,Armenia,2015,"Intentional homicide rates per 100,000",2.6
51,Armenia,2015,"Percentage of male and female intentional homicide victims, Male",3.9
51,Armenia,2015,"Percentage of male and female intentional homicide victims, Female",1.4
51,Armenia,2015,"Assault rate per 100,000 population",5.4
51,Armenia,2015,"Kidnapping at the national level, rate per 100,000",1.9
51,Armenia,2015,"Theft at the national level, rate per 100,000 population",177.8
51,Armenia,2015,"Total Sexual Violence at the national level, rate per 100,000",4
533,Aruba,2005,"Intentional homicide rates per 100,000",6
533,Aruba,2005,"Percentage of male and female intentional homicide victims, Male",10.5
533,Aruba,2005,"Percentage of male and female intentional homicide victims, Female",1.9
533,Aruba,2010,"Intentional homicide rates per 100,000",3.9
533,Aruba,2010,"Percentage of male and female intentional homicide victims, Male",8.3
533,Aruba,2010,"Percentage of male and female intentional homicide victims, Female",0
533,Aruba,2014,"Intentional homicide rates per 100,000",1.9
533,Aruba,2014,"Percentage of male and female intentional homicide victims, Male",4.1
533,Aruba,2014,"Percentage of male and female intentional homicide victims, Female",0
36,Australia,2005,"Intentional homicide rates per 100,000",1.3
36,Australia,2005,"Percentage of male and female intentional homicide victims, Male",1.6
36,Australia,2005,"Percentage of male and female intentional homicide victims, Female",1
36,Australia,2005,"Theft at the national level, rate per 100,000 population","2,556.60"
36,Australia,2010,"Intentional homicide rates per 100,000",1
36,Australia,2010,"Percentage of male and female intentional homicide victims, Male",1.2
36,Australia,2010,"Percentage of male and female intentional homicide victims, Female",0.8
36,Australia,2010,"Assault rate per 100,000 population",309.8
36,Australia,2010,"Kidnapping at the national level, rate per 100,000",2.8
36,Australia,2010,"Theft at the national level, rate per 100,000 population","2,153.40"
36,Australia,2010,"Robbery at the national level, rate per 100,000 population",66
36,Australia,2010,"Total Sexual Violence at the national level, rate per 100,000",85.1
36,Australia,2015,"Intentional homicide rates per 100,000",1
36,Australia,2015,"Percentage of male and female intentional homicide victims, Male",1.3
36,Australia,2015,"Percentage of male and female intentional homicide victims, Female",0.7
36,Australia,2015,"Assault rate per 100,000 population",279.9
36,Australia,2015,"Kidnapping at the national level, rate per 100,000",2.2
36,Australia,2015,"Theft at the national level, rate per 100,000 population","2,122.50"
36,Australia,2015,"Robbery at the national level, rate per 100,000 population",37.4
36,Australia,2015,"Total Sexual Violence at the national level, rate per 100,000",89.2
40,Austria,2005,"Intentional homicide rates per 100,000",0.7
40,Austria,2005,"Percentage of male and female intentional homicide victims, Male",0.7
40,Austria,2005,"Percentage of male and female intentional homicide victims, Female",0.6
40,Austria,2005,"Assault rate per 100,000 population",43.9
40,Austria,2005,"Kidnapping at the national level, rate per 100,000",0.1
40,Austria,2005,"Theft at the national level, rate per 100,000 population","2,149.70"
40,Austria,2005,"Robbery at the national level, rate per 100,000 population",57.9
40,Austria,2005,"Total Sexual Violence at the national level, rate per 100,000",20.3
40,Austria,2010,"Intentional homicide rates per 100,000",0.7
40,Austria,2010,"Percentage of male and female intentional homicide victims, Male",0.7
40,Austria,2010,"Percentage of male and female intentional homicide victims, Female",0.7
40,Austria,2010,"Assault rate per 100,000 population",43
40,Austria,2010,"Kidnapping at the national level, rate per 100,000",0.1
40,Austria,2010,"Theft at the national level, rate per 100,000 population","1,857.20"
40,Austria,2010,"Robbery at the national level, rate per 100,000 population",51.4
40,Austria,2010,"Total Sexual Violence at the national level, rate per 100,000",39.3
40,Austria,2015,"Intentional homicide rates per 100,000",0.5
40,Austria,2015,"Percentage of male and female intentional homicide victims, Male",0.7
40,Austria,2015,"Percentage of male and female intentional homicide victims, Female",0.4
40,Austria,2015,"Assault rate per 100,000 population",40.5
40,Austria,2015,"Kidnapping at the national level, rate per 100,000",0
40,Austria,2015,"Theft at the national level, rate per 100,000 population","1,630.90"
40,Austria,2015,"Robbery at the national level, rate per 100,000 population",40
40,Austria,2015,"Total Sexual Violence at the national level, rate per 100,000",39
31,Azerbaijan,2005,"Intentional homicide rates per 100,000",2.2
31,Azerbaijan,2005,"Assault rate per 100,000 population",1.9
31,Azerbaijan,2005,"Kidnapping at the national level, rate per 100,000",0.3
31,Azerbaijan,2005,"Theft at the national level, rate per 100,000 population",25.1
31,Azerbaijan,2005,"Robbery at the national level, rate per 100,000 population",2.3
31,Azerbaijan,2010,"Intentional homicide rates per 100,000",2.3
31,Azerbaijan,2010,"Percentage of male and female intentional homicide victims, Male",3.2
31,Azerbaijan,2010,"Percentage of male and female intentional homicide victims, Female",1.4
31,Azerbaijan,2010,"Assault rate per 100,000 population",1.9
31,Azerbaijan,2010,"Kidnapping at the national level, rate per 100,000",0
31,Azerbaijan,2010,"Theft at the national level, rate per 100,000 population",42.5
31,Azerbaijan,2010,"Robbery at the national level, rate per 100,000 population",3.2
31,Azerbaijan,2010,"Total Sexual Violence at the national level, rate per 100,000",2.2
31,Azerbaijan,2014,"Intentional homicide rates per 100,000",2.5
31,Azerbaijan,2014,"Percentage of male and female intentional homicide victims, Male",3.2
31,Azerbaijan,2014,"Percentage of male and female intentional homicide victims, Female",1.8
31,Azerbaijan,2014,"Assault rate per 100,000 population",1.7
31,Azerbaijan,2014,"Kidnapping at the national level, rate per 100,000",0
31,Azerbaijan,2014,"Theft at the national level, rate per 100,000 population",60.9
31,Azerbaijan,2014,"Robbery at the national level, rate per 100,000 population",2.5
31,Azerbaijan,2014,"Total Sexual Violence at the national level, rate per 100,000",2.2
44,Bahamas,2005,"Intentional homicide rates per 100,000",15.8
44,Bahamas,2005,"Percentage of male and female intentional homicide victims, Male",27.4
44,Bahamas,2005,"Percentage of male and female intentional homicide victims, Female",4.7
44,Bahamas,2005,"Kidnapping at the national level, rate per 100,000",7.3
44,Bahamas,2005,"Theft at the national level, rate per 100,000 population",440.4
44,Bahamas,2005,"Total Sexual Violence at the national level, rate per 100,000",133.3
44,Bahamas,2010,"Intentional homicide rates per 100,000",26.1
44,Bahamas,2010,"Percentage of male and female intentional homicide victims, Male",45.4
44,Bahamas,2010,"Percentage of male and female intentional homicide victims, Female",7.6
44,Bahamas,2010,"Assault rate per 100,000 population",848.9
44,Bahamas,2010,"Kidnapping at the national level, rate per 100,000",5
44,Bahamas,2010,"Theft at the national level, rate per 100,000 population",545.7
44,Bahamas,2010,"Robbery at the national level, rate per 100,000 population",93.1
44,Bahamas,2010,"Total Sexual Violence at the national level, rate per 100,000",85.6
44,Bahamas,2012,"Intentional homicide rates per 100,000",29.8
44,Bahamas,2012,"Percentage of male and female intentional homicide victims, Male",55.5
44,Bahamas,2012,"Percentage of male and female intentional homicide victims, Female",5.3
44,Bahamas,2012,"Assault rate per 100,000 population",841.1
44,Bahamas,2012,"Kidnapping at the national level, rate per 100,000",7.5
44,Bahamas,2012,"Theft at the national level, rate per 100,000 population",533.1
44,Bahamas,2012,"Robbery at the national level, rate per 100,000 population",98.6
44,Bahamas,2012,"Total Sexual Violence at the national level, rate per 100,000",80.3
44,Bahamas,2015,"Intentional homicide rates per 100,000",37.7
48,Bahrain,2005,"Intentional homicide rates per 100,000",0.4
48,Bahrain,2005,"Assault rate per 100,000 population",406.9
48,Bahrain,2005,"Kidnapping at the national level, rate per 100,000",1.4
48,Bahrain,2005,"Theft at the national level, rate per 100,000 population","1,114.10"
48,Bahrain,2005,"Robbery at the national level, rate per 100,000 population",48.4
48,Bahrain,2006,"Intentional homicide rates per 100,000",0.7
48,Bahrain,2006,"Assault rate per 100,000 population",367.2
48,Bahrain,2006,"Kidnapping at the national level, rate per 100,000",2.2
48,Bahrain,2006,"Theft at the national level, rate per 100,000 population",888.6
48,Bahrain,2006,"Robbery at the national level, rate per 100,000 population",24.8
48,Bahrain,2008,"Intentional homicide rates per 100,000",0.5
48,Bahrain,2008,"Assault rate per 100,000 population",327.5
48,Bahrain,2008,"Theft at the national level, rate per 100,000 population",681
48,Bahrain,2008,"Robbery at the national level, rate per 100,000 population",27.4
48,Bahrain,2008,"Total Sexual Violence at the national level, rate per 100,000",15.7
48,Bahrain,2010,"Intentional homicide rates per 100,000",0.9
48,Bahrain,2011,"Intentional homicide rates per 100,000",0.5
48,Bahrain,2011,"Percentage of male and female intentional homicide victims, Male",0.7
48,Bahrain,2011,"Percentage of male and female intentional homicide victims, Female",0.3
48,Bahrain,2014,"Intentional homicide rates per 100,000",0.5
50,Bangladesh,2005,"Intentional homicide rates per 100,000",2.5
50,Bangladesh,2005,"Assault rate per 100,000 population",0.4
50,Bangladesh,2005,"Kidnapping at the national level, rate per 100,000",0.9
50,Bangladesh,2005,"Theft at the national level, rate per 100,000 population",8.8
50,Bangladesh,2005,"Robbery at the national level, rate per 100,000 population",0.6
50,Bangladesh,2006,"Intentional homicide rates per 100,000",2.9
50,Bangladesh,2006,"Assault rate per 100,000 population",0.4
50,Bangladesh,2006,"Kidnapping at the national level, rate per 100,000",0.8
50,Bangladesh,2006,"Theft at the national level, rate per 100,000 population",9
50,Bangladesh,2006,"Robbery at the national level, rate per 100,000 population",0.6
50,Bangladesh,2010,"Intentional homicide rates per 100,000",2.6
50,Bangladesh,2015,"Intentional homicide rates per 100,000",2.5
50,Bangladesh,2015,"Percentage of male and female intentional homicide victims, Male",3.9
50,Bangladesh,2015,"Percentage of male and female intentional homicide victims, Female",1
52,Barbados,2005,"Intentional homicide rates per 100,000",10.6
52,Barbados,2005,"Percentage of male and female intentional homicide victims, Male",15.1
52,Barbados,2005,"Percentage of male and female intentional homicide victims, Female",6.4
52,Barbados,2005,"Assault rate per 100,000 population",631.7
52,Barbados,2005,"Kidnapping at the national level, rate per 100,000",8.4
52,Barbados,2005,"Theft at the national level, rate per 100,000 population",412.4
52,Barbados,2005,"Robbery at the national level, rate per 100,000 population",120.4
52,Barbados,2005,"Total Sexual Violence at the national level, rate per 100,000",70.1
52,Barbados,2010,"Intentional homicide rates per 100,000",11.1
52,Barbados,2010,"Percentage of male and female intentional homicide victims, Male",17.1
52,Barbados,2010,"Percentage of male and female intentional homicide victims, Female",5.5
52,Barbados,2010,"Assault rate per 100,000 population",540.5
52,Barbados,2010,"Kidnapping at the national level, rate per 100,000",4.3
52,Barbados,2010,"Theft at the national level, rate per 100,000 population",739.4
52,Barbados,2010,"Robbery at the national level, rate per 100,000 population",174.2
52,Barbados,2010,"Total Sexual Violence at the national level, rate per 100,000",60.5
52,Barbados,2015,"Intentional homicide rates per 100,000",10.9
52,Barbados,2015,"Percentage of male and female intentional homicide victims, Male",20.6
52,Barbados,2015,"Percentage of male and female intentional homicide victims, Female",2
52,Barbados,2015,"Assault rate per 100,000 population",518.6
52,Barbados,2015,"Kidnapping at the national level, rate per 100,000",4.9
52,Barbados,2015,"Theft at the national level, rate per 100,000 population",596
52,Barbados,2015,"Robbery at the national level, rate per 100,000 population",105.6
52,Barbados,2015,"Total Sexual Violence at the national level, rate per 100,000",68.3
112,Belarus,2005,"Intentional homicide rates per 100,000",8.6
112,Belarus,2005,"Assault rate per 100,000 population",19.9
112,Belarus,2005,"Kidnapping at the national level, rate per 100,000",0.4
112,Belarus,2005,"Theft at the national level, rate per 100,000 population","1,070.40"
112,Belarus,2005,"Robbery at the national level, rate per 100,000 population",119.9
112,Belarus,2005,"Total Sexual Violence at the national level, rate per 100,000",8.5
112,Belarus,2010,"Intentional homicide rates per 100,000",4.2
112,Belarus,2010,"Percentage of male and female intentional homicide victims, Male",6
112,Belarus,2010,"Percentage of male and female intentional homicide victims, Female",2.7
112,Belarus,2010,"Assault rate per 100,000 population",12.2
112,Belarus,2010,"Kidnapping at the national level, rate per 100,000",0.2
112,Belarus,2010,"Theft at the national level, rate per 100,000 population",775.3
112,Belarus,2010,"Robbery at the national level, rate per 100,000 population",49.9
112,Belarus,2010,"Total Sexual Violence at the national level, rate per 100,000",3.9
112,Belarus,2014,"Intentional homicide rates per 100,000",3.6
112,Belarus,2014,"Percentage of male and female intentional homicide victims, Male",5.1
112,Belarus,2014,"Percentage of male and female intentional homicide victims, Female",2.3
112,Belarus,2014,"Assault rate per 100,000 population",8.7
112,Belarus,2014,"Kidnapping at the national level, rate per 100,000",0.3
112,Belarus,2014,"Theft at the national level, rate per 100,000 population",426.6
112,Belarus,2014,"Robbery at the national level, rate per 100,000 population",25.9
112,Belarus,2014,"Total Sexual Violence at the national level, rate per 100,000",4.8
56,Belgium,2005,"Intentional homicide rates per 100,000",2.1
56,Belgium,2005,"Percentage of male and female intentional homicide victims, Male",2.5
56,Belgium,2005,"Percentage of male and female intentional homicide victims, Female",1.7
56,Belgium,2005,"Assault rate per 100,000 population",638.3
56,Belgium,2005,"Kidnapping at the national level, rate per 100,000",8.7
56,Belgium,2005,"Theft at the national level, rate per 100,000 population","2,058.20"
56,Belgium,2005,"Robbery at the national level, rate per 100,000 population","1,814.00"
56,Belgium,2005,"Total Sexual Violence at the national level, rate per 100,000",57.3
56,Belgium,2010,"Intentional homicide rates per 100,000",1.7
56,Belgium,2010,"Percentage of male and female intentional homicide victims, Male",2.2
56,Belgium,2010,"Percentage of male and female intentional homicide victims, Female",1.2
56,Belgium,2010,"Assault rate per 100,000 population",711.4
56,Belgium,2010,"Kidnapping at the national level, rate per 100,000",10.3
56,Belgium,2010,"Theft at the national level, rate per 100,000 population","2,089.30"
56,Belgium,2010,"Robbery at the national level, rate per 100,000 population",218.3
56,Belgium,2010,"Total Sexual Violence at the national level, rate per 100,000",64.9
56,Belgium,2014,"Intentional homicide rates per 100,000",1.9
56,Belgium,2014,"Percentage of male and female intentional homicide victims, Male",2.3
56,Belgium,2014,"Percentage of male and female intentional homicide victims, Female",1.4
56,Belgium,2014,"Assault rate per 100,000 population",625.7
56,Belgium,2014,"Kidnapping at the national level, rate per 100,000",10.2
56,Belgium,2014,"Theft at the national level, rate per 100,000 population","1,856.70"
56,Belgium,2014,"Robbery at the national level, rate per 100,000 population",195.1
56,Belgium,2014,"Total Sexual Violence at the national level, rate per 100,000",60.3
56,Belgium,2015,"Intentional homicide rates per 100,000",1.9
56,Belgium,2015,"Assault rate per 100,000 population",600
56,Belgium,2015,"Kidnapping at the national level, rate per 100,000",10.1
56,Belgium,2015,"Theft at the national level, rate per 100,000 population","1,651.30"
56,Belgium,2015,"Robbery at the national level, rate per 100,000 population",195.6
56,Belgium,2015,"Total Sexual Violence at the national level, rate per 100,000",55.1
84,Belize,2004,"Intentional homicide rates per 100,000",28.6
84,Belize,2004,"Percentage of male and female intentional homicide victims, Male",46.8
84,Belize,2004,"Percentage of male and female intentional homicide victims, Female",10.2
84,Belize,2005,"Intentional homicide rates per 100,000",28.6
84,Belize,2005,"Kidnapping at the national level, rate per 100,000",3.2
84,Belize,2005,"Theft at the national level, rate per 100,000 population",592.4
84,Belize,2005,"Robbery at the national level, rate per 100,000 population",235.5
84,Belize,2009,"Intentional homicide rates per 100,000",30.9
84,Belize,2009,"Percentage of male and female intentional homicide victims, Male",56
84,Belize,2009,"Percentage of male and female intentional homicide victims, Female",5.7
84,Belize,2009,"Assault rate per 100,000 population",165.3
84,Belize,2009,"Kidnapping at the national level, rate per 100,000",0.6
84,Belize,2009,"Theft at the national level, rate per 100,000 population",375.6
84,Belize,2009,"Robbery at the national level, rate per 100,000 population",173.6
84,Belize,2009,"Total Sexual Violence at the national level, rate per 100,000",64.4
84,Belize,2010,"Intentional homicide rates per 100,000",40.1
84,Belize,2010,"Percentage of male and female intentional homicide victims, Male",70.2
84,Belize,2010,"Percentage of male and female intentional homicide victims, Female",10
84,Belize,2010,"Theft at the national level, rate per 100,000 population",259.9
84,Belize,2010,"Robbery at the national level, rate per 100,000 population",148.3
84,Belize,2010,"Total Sexual Violence at the national level, rate per 100,000",40.4
84,Belize,2014,"Intentional homicide rates per 100,000",35
84,Belize,2014,"Percentage of male and female intentional homicide victims, Male",63.3
84,Belize,2014,"Percentage of male and female intentional homicide victims, Female",6.8
84,Belize,2014,"Assault rate per 100,000 population",296.3
84,Belize,2014,"Kidnapping at the national level, rate per 100,000",1.1
84,Belize,2014,"Theft at the national level, rate per 100,000 population",234.9
84,Belize,2014,"Robbery at the national level, rate per 100,000 population",86.4
84,Belize,2014,"Total Sexual Violence at the national level, rate per 100,000",42.4
84,Belize,2015,"Intentional homicide rates per 100,000",33.1
84,Belize,2015,"Percentage of male and female intentional homicide victims, Male",61.4
84,Belize,2015,"Percentage of male and female intentional homicide victims, Female",5
204,Benin,2005,"Intentional homicide rates per 100,000",7.2
204,Benin,2010,"Intentional homicide rates per 100,000",6.6
204,Benin,2015,"Intentional homicide rates per 100,000",6.2
204,Benin,2015,"Percentage of male and female intentional homicide victims, Male",10
204,Benin,2015,"Percentage of male and female intentional homicide victims, Female",2.4
60,Bermuda,2004,"Intentional homicide rates per 100,000",1.5
60,Bermuda,2004,"Percentage of male and female intentional homicide victims, Male",0
60,Bermuda,2004,"Percentage of male and female intentional homicide victims, Female",2.9
60,Bermuda,2004,"Assault rate per 100,000 population",668.6
60,Bermuda,2004,"Kidnapping at the national level, rate per 100,000",3.1
60,Bermuda,2004,"Theft at the national level, rate per 100,000 population","1,541.70"
60,Bermuda,2004,"Robbery at the national level, rate per 100,000 population",118.4
60,Bermuda,2005,"Intentional homicide rates per 100,000",3.1
60,Bermuda,2005,"Percentage of male and female intentional homicide victims, Male",6.5
60,Bermuda,2005,"Percentage of male and female intentional homicide victims, Female",0
60,Bermuda,2010,"Intentional homicide rates per 100,000",10.9
60,Bermuda,2010,"Percentage of male and female intentional homicide victims, Male",23
60,Bermuda,2010,"Percentage of male and female intentional homicide victims, Female",0
60,Bermuda,2010,"Assault rate per 100,000 population",964.8
60,Bermuda,2010,"Kidnapping at the national level, rate per 100,000",1.6
60,Bermuda,2010,"Theft at the national level, rate per 100,000 population",950.7
60,Bermuda,2010,"Robbery at the national level, rate per 100,000 population",154.8
60,Bermuda,2010,"Total Sexual Violence at the national level, rate per 100,000",143.9
60,Bermuda,2015,"Intentional homicide rates per 100,000",6.5
60,Bermuda,2015,"Percentage of male and female intentional homicide victims, Male",13.6
60,Bermuda,2015,"Percentage of male and female intentional homicide victims, Female",0
60,Bermuda,2015,"Assault rate per 100,000 population",922.5
60,Bermuda,2015,"Kidnapping at the national level, rate per 100,000",1.6
60,Bermuda,2015,"Theft at the national level, rate per 100,000 population","1,029.00"
60,Bermuda,2015,"Robbery at the national level, rate per 100,000 population",74.2
60,Bermuda,2015,"Total Sexual Violence at the national level, rate per 100,000",137.1
64,Bhutan,2005,"Intentional homicide rates per 100,000",1.7
64,Bhutan,2010,"Intentional homicide rates per 100,000",2.2
