F01,F02,F03,F04,T
4,2,0,2290,1
2,2,0,1050,0
4,2,990,2260,1
5,1,2000,2540,1
4,1,390,2190,1
3,2,0,2030,1
4,1.5,0,1330,1
3,1,800,2230,1
3,1,430,1540,1
3,1,0,1230,1
3,1,0,2680,1
3,1,760,1900,1
3,1,0,1570,1
3,2,0,2550,1
4,1.5,840,1500,1
3,2,0,1750,1
3,2,0,2330,1
3,1,0,1560,1
3,1,0,1300,1
3,2,0,2030,1
3,1,0,1680,1
3,1,400,1430,1
3,1,0,1400,1
4,1,850,2770,1
3,2,0,2750,1
3,1,0,1290,1
2,1,0,1250,0
6,2,700,1560,1
4,2,0,1630,1
3,2,210,1160,1
4,1,0,2520,1
3,2,0,2590,1
4,2,0,2130,1
2,1,0,1100,0
5,1,1430,3836,1
3,2,0,1320,1
2,1,1950,2580,0
2,1,0,2120,0
4,2,0,3070,1
3,1,400,1900,1
4,2,0,1910,1
3,1,440,2080,1
3,2,0,2020,1
3,1,0,1280,1
2,1,0,1640,0
4,1,600,1510,1
3,1,450,1960,1
3,2,0,2250,1
2,2,220,2030,0
4,1,0,2280,1
6,1,1160,2120,1
2,1,0,1150,0
3,1.5,860,2090,1
5,2,0,3430,1
3,1,580,2070,1
4,1.5,300,1510,1
3,2,300,2920,1
6,1,2060,2600,1
3,1,0,1190,1
2,1,0,830,0
2,1.5,0,1450,0
3,1,0,1260,1
2,1,240,1390,0
3,2,0,2570,1
4,1,1820,3120,1
2,1,0,1150,0
4,1,0,2010,1
3,1,790,1390,1
3,1,570,1750,1
4,2,0,3060,1
3,2,0,1730,1
3,1,600,1620,1
3,2,0,1630,1
2,1.5,0,1420,0
4,1,1180,1910,1
3,1,380,1550,1
3,1,0,1380,1
4,2,0,2990,1
3,1.5,200,1660,1
3,1,0,1600,1
3,2,780,2380,1
2,1,0,1330,0
1,1,0,1230,0
4,2,0,1950,1
3,1,0,1130,1
2,1,0,1320,0
3,1,650,2070,1
4,1.5,300,3890,1
4,2,0,4180,1
2,1,0,1440,0
3,1,0,1350,1
3,1,0,1320,1
3,1,500,1440,1
3,2,0,2653,1
3,1,0,1660,1
4,2,970,1860,1
4,1,0,2670,1
3,1,1150,2020,1
4,1,990,1720,1
2,1,0,1650,0
5,2,1200,3050,1
4,2,0,3920,1
3,1,680,2570,1
4,2,0,2410,1
5,1,650,2300,1
3,1,530,1670,1
5,1,1450,2310,1
2,1,500,1520,0
4,2,0,2410,1
4,1,1170,2120,1
4,2,0,2280,1
4,2,1010,2320,1
3,2,700,2390,1
4,2,0,3150,1
3,1,0,1740,1
3,2,0,2400,1
3,1,700,2140,1
3,1,500,1630,1
4,1,1950,4550,1
3,2,0,2510,1
3,1,970,2190,1
3,2,0,2370,1
3,1,1080,1460,1
3,1,960,1740,1
4,1,400,1800,1
4,2,0,2250,1
2,1.5,0,1460,0
4,2,1100,2720,1
4,1.5,390,2440,1
5,1.5,0,1660,1
5,2,280,2880,1
4,1,1600,3860,1
4,1,1600,3860,1
4,1,600,2150,1
3,1,870,1570,1
3,1,0,2350,1
2,1,300,1570,0
4,1,0,1310,1
5,2,0,1560,1
3,2,0,2660,1
3,1,0,1520,1
3,1,0,1510,1
2,1,280,1820,0
2,1,280,1820,0
3,2,0,3080,1
4,1.5,0,2320,1
3,1,0,1150,1
3,1,780,2500,1
4,2,910,2370,1
6,2,0,1590,1
3,1,0,1910,1
2,1,0,1710,0
4,2,0,2770,1
4,2,0,1800,1
3,1,1070,2580,1
4,1.5,0,1820,1
3,1,0,1740,1
3,1,0,880,1
4,2,0,2560,1
4,2,620,3470,1
3,1,1200,1580,1
4,1,0,1660,1
4,2,0,2380,1
4,1,0,1020,1
4,1,0,1020,1
2,1,0,1360,0
3,1,0,1720,1
4,1,1250,2040,1
1,1,0,1300,0
4,2,0,2610,1
3,1,600,1940,1
2,1,200,1930,0
4,1,500,1640,1
4,1,1100,1600,1
4,2,0,2010,1
4,1.5,0,1750,1
3,1,0,1340,1
3,2,460,1520,1
3,2,0,1580,1
5,2,0,2470,1
4,2,0,1820,1
3,1,770,2040,1
5,1,1400,2920,1
3,2,0,1380,1
4,2,0,2140,1
4,2,0,3400,1
4,1,530,2770,1
4,1,720,1810,1
3,2,0,1430,1
4,1,1080,1810,1
4,1,1080,1810,1
5,2,0,2860,1
3,2,0,1650,1
4,2,0,3480,1
3,1,530,1770,1
3,1,530,1680,1
4,2,0,1910,1
3,1.5,0,1590,1
2,1,0,3130,0
3,2,1010,3360,1
4,2,0,2300,1
4,1,970,2420,1
5,2,1320,4050,1
4,2,0,2450,1
3,1,0,1410,1
3,1,490,1710,1
4,2,0,1880,1
4,1,660,1610,1
4,1.5,0,1450,1
3,2,0,1950,1
3,2,0,1790,1
4,2,0,3180,1
4,2,0,3600,1
2,1,0,2000,0
5,1,1220,2110,1
4,1,0,2000,1
3,1.5,900,1060,1
4,1.5,0,1390,1
3,2,420,1630,1
4,1,1580,1880,1
2,1,0,1560,0
3,2,0,2430,1
4,2,0,1820,1
3,2,180,1510,1
3,3,0,1290,1
3,1,0,1570,1
4,2,0,2090,1
4,1,0,3180,1
3,2,0,1550,1
2,1,0,1380,0
3,2,0,2990,1
3,2,0,2450,1
4,1.5,0,2850,1
3,1,1380,2520,1
4,1,475,2690,1
4,1,910,1910,1
3,2,0,2320,1
5,2,0,4680,1
2,1,0,1320,0
3,1,0,1580,1
3,2,0,2360,1
3,2,0,2310,1
2,1,0,1300,0
3,1,500,1850,1
5,1,0,1620,1
3,1,580,3530,1
4,1,240,1460,1
3,2,0,2310,1
4,2,0,2290,1
4,2,0,3930,1
4,1.5,690,1810,1
3,2,0,1490,1
4,2,0,2300,1
4,1,270,2140,1
5,2,1400,3180,1
3,2,0,2860,1
2,3,0,1610,0
3,1,580,2460,1
3,1,0,2077,1
3,2,0,1890,1
2,1,350,2400,0
3,1,0,1930,1
3,1,0,1150,1
3,1,0,1920,1
3,1,935,3630,1
3,1,0,1510,1
5,1,1040,1930,1
3,1,1150,2580,1
3,2,710,2610,1
3,1,0,1630,1
3,1,0,1230,1
3,1,650,2120,1
3,1,0,1900,1
3,2,0,2500,1
3,2,0,2350,1
3,2,200,2280,1
4,1,1370,2460,1
3,1,0,1490,1
4,2,0,3220,1
3,2,0,2400,1
3,2,0,1570,1
4,2,0,2480,1
3,1,0,1220,1
1,1,0,1200,0
3,1,0,1480,1
4,2,0,2100,1
3,1,350,1770,1
3,2,0,1810,1
2,2,0,1310,0
3,2,0,3230,1
4,2,980,2820,1
4,2,1040,4300,1
4,2,0,3390,1
4,2,0,1580,1
3,2,530,1610,1
3,1,200,1770,1
2,1,0,1420,0
4,1,1130,2920,1
4,1,850,1620,1
3,2,0,2350,1
3,2,0,2230,1
3,1,450,1730,1
4,2.5,0,3850,1
4,1,700,2060,1
6,2,1000,3600,1
2,1,0,1860,0
4,2,0,2820,1
5,2,0,3080,1
4,1,620,1560,1
3,1,0,1680,1
3,1,0,1300,1
5,2,440,1910,1
3,1,440,1660,1
2,2,360,1240,0
4,2,400,1440,1
3,1,1470,2424,1
2,1.5,300,1590,0
3,2,0,2530,1
4,2,0,3030,1
2,1,630,1460,0
3,1,0,2200,1
4,2,0,2720,1
3,1,0,1930,1
2,1,0,1450,0
3,1.5,0,1640,1
3,1,160,1690,1
2,1,720,1420,0
4,2,0,2160,1
4,1,850,1980,1
4,2,0,2830,1
5,2,0,2900,1
4,1.5,0,1220,1
3,1,950,1770,1
2,1,0,1460,0
3,1.5,400,1860,1
3,2,0,2080,1
4,2.5,1370,2950,1
4,2,0,2200,1
3,1,0,1190,1
2,1,0,1470,0
5,1,1010,2290,1
4,1,0,1690,1
2,1,0,940,0
2,1,0,1380,0
4,2,0,2740,1
6,2,0,4210,1
4,1.5,0,1320,1
3,1,0,2590,1
3,1,460,1680,1
2,2,0,1360,0
4,2,0,3340,1
3,1,0,1400,1
3,1,0,1580,1
3,2,0,1780,1
4,1,0,1870,1
2,1,500,1920,0
3,1,0,1360,1
4,2,0,2230,1
3,2,0,3980,1
4,2,0,1560,1
4,1,50,2120,1
3,1,0,2480,1
3,2,0,2120,1
4,2,0,3920,1
4,2,0,2560,1
2,2,350,1070,0
4,1,740,1870,1
2,1,0,1190,0
3,1,1040,2180,1
3,2,800,3080,1
3,2,0,1520,1
2,1,0,1340,0
3,1,0,1570,1
4,2,0,3715,1
7,2,1780,3230,1
4,1.5,0,1310,1
6,2,0,2040,1
4,2,0,2050,1
4,1,820,1960,1
4,1,0,2340,1
3,2,0,1630,1
4,2,0,3180,1
3,1,710,1870,1
3,2,0,1600,1
3,1.5,0,1490,1
5,1.5,630,2040,1
3,1.5,0,1440,1
2,1,290,1870,0
4,2,0,1830,1
4,2,0,3480,1
5,1.5,800,1080,1
5,1.5,0,1590,1
3,1,290,1330,1
2,1,0,2010,0
3,2,0,2095,1
4,2.5,1900,2700,1
4,2,0,2450,1
3,1,0,1000,1
3,2,0,3180,1
3,1,0,1380,1
2,1.5,600,2130,0
4,2,0,2060,1
4,1,340,1500,1
3,1,0,1470,1
3,1.5,200,2160,1
3,2,0,3030,1
3,2,0,2470,1
3,1.5,730,1910,1
3,1,820,2450,1
3,1,0,2050,1
3,2,0,1610,1
4,2,0,2020,1
4,2,0,1830,1
3,1,470,1220,1
2,2,0,1540,0
3,2,0,3330,1
4,2,0,2860,1
4,2,0,3070,1
2,1,0,2170,0
4,1,0,2560,1
3,2,0,1560,1
3,1,0,1440,1
3,2,0,1560,1
4,1,1450,2050,1
2,2,160,1290,0
2,1,0,1150,0
3,1,370,1660,1
4,2,700,2200,1
2,3,0,1200,0
3,1,640,1780,1
3,2,0,2190,1
3,2,0,2600,1
3,1.5,0,1500,1
3,1,540,1810,1
3,2,0,1290,1
3,2,0,2040,1
3,1,0,1390,1
3,1,0,1700,1
3,2,0,1930,1
3,1,730,1920,1
3,1,0,1408,1
2,1,820,1530,0
3,1,0,1440,1
3,1,140,1200,1
3,3,0,1660,1
3,1,570,2760,1
3,1,280,1920,1
4,2,0,3110,1
3,1,0,1080,1
2,1,370,1620,0
3,1,480,1680,1
3,1,560,2390,1
2,1,120,1760,0
3,1,0,1200,1
3,1,0,1200,1
3,2,0,1220,1
3,1,0,2180,1
3,2,1000,1820,1
2,1,500,950,0
4,1,910,1540,1
5,1,1760,2620,1
3,3,130,1510,1
3,2,0,2360,1
3,1,610,1760,1
3,1.5,0,1680,1
3,1,450,1580,1
1,1,0,1250,0
4,1.5,0,1170,1
3,1,0,1300,1
4,1,470,2520,1
3,1,800,2000,1
3,1.5,770,1940,1
3,2,0,1490,1
3,2,0,3000,1
3,1,1600,2730,1
3,1,0,1250,1
4,2,800,2180,1
3,1,0,1750,1
3,1,0,1150,1
4,1,700,2090,1
3,2,0,1880,1
3,3,0,1307,1
3,1,0,1390,1
3,1,0,1890,1
3,3,0,1220,1
4,3,0,1640,1
3,1,0,1940,1
4,2,800,2220,1
3,1,690,1880,1
4,1,850,1380,1
4,1,880,2390,1
4,2,0,2180,1
3,1,600,1800,1
3,1,520,2230,1
2,1,0,1150,0
2,1,0,1690,0
3,1,890,1850,1
4,2,0,4190,1
3,1,470,1440,1
4,2,0,3440,1
4,2,0,3250,1
4,2,630,1620,1
4,1.5,0,1110,1
5,2,0,2870,1
3,2,0,2430,1
4,2,0,2730,1
3,1,0,1490,1
3,1,0,1820,1
3,1,400,2140,1
5,2,0,3180,1
4,2,0,2330,1
2,1,130,1210,0
4,2,0,2900,1
3,1,0,1670,1
5,1,1220,2670,1
4,1,580,2400,1
3,1,840,1350,1
4,2,0,2300,1
2,1.5,0,1500,0
2,1,0,1170,0
4,1,450,2180,1
4,1,300,1630,1
2,1,0,1410,0
2,1,0,2240,0
3,1,0,1530,1
4,1,1020,2910,1
3,1,0,1350,1
3,2,400,2700,1
4,2,0,1970,1
3,1,0,1210,1
4,2,0,2440,1
4,1,0,1540,1
5,1,450,1420,1
4,1,700,1770,1
3,1,0,1300,1
6,2,0,1120,1
6,2,0,1120,1
3,1,0,1430,1
3,2,0,2390,1
2,1,0,1300,0
4,2,0,4230,1
3,2,370,2510,1
5,1,970,1700,1
3,1,520,1720,1
2,1,0,1320,0
2,1,0,1280,0
3,1,340,1590,1
4,2,0,3890,1
3,1,600,2460,1
3,2,0,1560,1
3,2,0,2280,1
3,2,270,2030,1
4,2,0,1708,1
4,2,0,2390,1
3,1,640,1500,1
3,1,660,2360,1
3,2,1110,3090,1
3,1,0,2020,1
4,2,0,2210,1
2,1,150,1170,0
3,1,0,2290,1
3,1,0,1160,1
3,1,600,950,1
4,2,0,2510,1
4,1,710,2180,1
3,2,0,2010,1
3,1,180,2210,1
4,1,440,1450,1
3,1,350,1150,1
3,1,1010,2510,1
3,1,140,1370,1
2,1,0,1870,0
3,1,600,1390,1
3,1,530,2140,1
5,1,1720,3270,1
2,2,1040,3220,0
4,1,0,2580,1
5,2.5,0,1480,1
4,2,0,2560,1
3,2,140,1210,1
3,1,0,2230,1
4,2,0,2230,1
3,1,780,1920,1
3,2,0,2160,1
4,1,1200,2360,1
3,1,0,1400,1
4,1,960,2180,1
3,2,810,2970,1
4,2,0,2240,1
3,1,0,1320,1
5,1.5,0,1940,1
2,1.5,0,1390,0
3,1,0,1370,1
3,1,1000,2070,1
3,2,160,1910,1
4,1,850,1520,1
4,2,0,2520,1
5,1.5,1760,3150,1
3,1,0,1450,1
3,1.5,620,2030,1
3,2,190,1180,1
4,2,0,1260,1
6,1.5,0,2560,1
5,1,0,2370,1
2,1,0,1540,0
4,1,0,2380,1
3,1,800,1410,1
3,2,0,1800,1
3,1,330,1830,1
4,2,0,3100,1
4,1,1290,4100,1
4,1.5,0,1570,1
2,1,0,1460,0
4,1,670,1180,1
4,2,0,2930,1
4,1,0,1850,1
3,2,0,2100,1
4,1,0,3510,1
3,1.5,0,2030,1
4,1,1510,3160,1
3,2,0,1380,1
5,2,0,3150,1
4,1.5,0,1220,1
3,2,0,1800,1
4,2,0,1910,1
3,1,1030,2140,1
3,2,0,2600,1
3,1,0,2330,1
3,1,0,1530,1
2,2,340,1310,0
3,2,0,2160,1
4,2,0,3000,1
4,2,1800,3470,1
3,2.5,0,1320,1
3,2,0,1150,1
2,1,0,1320,0
5,2,0,2870,1
3,1,0,1580,1
3,1.5,0,1580,1
4,2,0,2095,1
3,2,1120,2688,1
3,1,680,1810,1
3,1,680,1810,1
3,1,0,1290,1
3,1.5,500,1600,1
4,1.5,0,1240,1
3,1,0,1800,1
4,2,0,2550,1
3,1,800,1630,1
3,2,0,1780,1
4,1,0,2120,1
6,1,1110,1850,1
3,1,0,1490,1
3,1,690,1980,1
2,1,0,1350,0
2,1,0,1350,0
4,1,1220,1790,1
4,2,0,2100,1
4,1,700,1340,1
3,1,400,1020,1
3,1.5,0,2440,1
3,2,0,1760,1
4,3,0,1440,1
3,1,0,1870,1
4,1.5,0,1860,1
3,1,1810,2530,1
3,1,530,1780,1
3,1,620,1630,1
4,2,0,2030,1
3,1,0,1610,1
3,2,340,1270,1
4,1,640,1840,1
5,2,0,2400,1
4,2,0,1950,1
3,2,0,1570,1
4,1,1180,1920,1
3,1.5,0,2640,1
3,1,0,1330,1
1,1,0,1170,0
3,1,0,1520,1
3,1,420,1930,1
3,2,0,1980,1
4,2,0,2050,1
3,2,0,1560,1
3,2,0,2490,1
3,2,0,1730,1
2,1,0,1270,0
5,1,960,2050,1
3,1,600,1950,1
3,1,400,1600,1
3,1,1460,2920,1
4,2,0,2820,1
3,2,0,3060,1
0,3.5,0,2360,0
3,1,0,1380,1
3,1,500,2040,1
3,1,0,1020,1
3,1,0,1120,1
3,1,390,1620,1
4,1,1000,1120,1
4,1,0,2060,1
3,2,680,1610,1
4,2,770,2100,1
5,1,1040,4090,1
5,2,620,2100,1
2,3,0,1170,0
3,1,0,1460,1
3,2,0,2810,1
3,2,0,3000,1
4,1.5,0,1820,1
4,2,0,2740,1
2,1,0,1200,0
3,2,210,1260,1
5,1.5,0,1530,1
5,1,1380,3260,1
3,2,0,2670,1
4,2,350,2190,1
3,1,0,1640,1
4,2,630,3680,1
4,1.5,0,3420,1
4,1,1250,3230,1
1,2,60,1360,0
3,1,400,1850,1
3,1.5,0,1180,1
3,2,0,1654,1
3,1,0,1630,1
5,1,660,2160,1
3,1,700,1470,1
3,1,0,1660,1
4,1,900,2500,1
3,1,0,1410,1
4,1,1050,1730,1
3,2,0,2050,1
3,1,940,1800,1
3,2,310,1000,1
3,2,0,1920,1
2,1,0,1100,0
5,1.5,0,1730,1
3,1,0,1390,1
3,2,0,1520,1
3,1,0,1340,1
3,1,930,2750,1
3,1.5,560,1430,1
4,1,1390,2860,1
4,1,640,1860,1
3,2,640,1690,1
2,2,290,1370,0
4,1,1150,2260,1
3,2,0,1320,1
5,1,1020,2030,1
3,1,0,1920,1
3,1,270,1660,1
4,1.5,610,2090,1
3,1,1830,2680,1
4,2,0,2820,1
2,1,0,1850,0
3,1,710,1710,1
3,1,0,1980,1
4,1.5,0,1290,1
2,1,0,1490,0
4,1.5,0,1990,1
5,2,1040,2010,1
5,1.5,910,1460,1
4,1,0,2150,1
4,1,580,1870,1
3,2,0,2260,1
3,1,0,1660,1
3,2,0,3600,1
5,1.5,0,1360,1
3,1,0,2600,1
3,1,340,1730,1
3,3,0,1920,1
4,2,0,2840,1
4,2,0,2300,1
4,1.5,0,1810,1
3,1,0,1930,1
3,1,0,2080,1
4,1,950,2140,1
4,3,0,1760,1
3,1,0,1650,1
2,1,0,1670,0
4,1.5,0,1390,1
4,2,0,2740,1
3,1,270,1590,1
3,1,0,1320,1
4,1,1110,2290,1
3,1,310,1540,1
4,2,0,2360,1
3,2,120,1500,1
3,1,0,1840,1
3,1,700,2560,1
3,2,0,2120,1
4,2,0,3080,1
4,2,0,2590,1
5,1,1300,2100,1
3,1,0,1360,1
3,1,0,1420,1
3,1,0,1270,1
3,1,510,1730,1
5,1,1330,2550,1
2,2,0,1870,0
2,1,0,1050,0
2,1,0,1370,0
3,3,50,1365,1
4,1,570,2130,1
3,1.5,360,1460,1
4,1.5,0,980,1
3,2,0,1850,1
4,1,0,2260,1
4,1,500,1520,1
4,1,1590,2580,1
3,1,0,1590,1
2,1,0,1170,0
4,2,0,1860,1
2,1.5,0,1310,0
2,1,0,1300,0
2,1,0,1450,0
3,1,0,2250,1
4,2,0,1650,1
3,1,0,1610,1
4,1,500,1840,1
3,2,0,1930,1
3,2,0,1677,1
3,1.5,0,1350,1
3,2,0,2500,1
4,2,0,2610,1
3,2,0,2220,1
2,1,430,1500,0
4,1.5,700,1640,1
3,1,840,2140,1
4,1,0,2830,1
4,1,0,1810,1
2,1,0,2230,0
3,1,0,1490,1
4,2,0,1970,1
3,1,470,1800,1
4,1,0,1530,1
4,2,0,1930,1
4,2,0,3330,1
3,2,0,1370,1
3,1,0,1650,1
3,1,0,1330,1
3,1,0,1140,1
4,2,0,1930,1
2,1.5,0,1190,0
4,1.5,0,1330,1
3,1,0,1880,1
2,1,350,1380,0
4,1.5,0,1190,1
4,2,1380,3640,1
2,1,0,1670,0
3,1,0,1690,1
3,2,530,3460,1
4,1,1620,3140,1
5,1,800,1950,1
3,2,0,1360,1
4,2,0,2430,1
3,2,0,2170,1
2,1,210,1502,0
4,1,800,2200,1
3,1,770,1420,1
2,1,0,1660,0
3,1,550,1780,1
3,1,0,2320,1
4,1,940,2030,1
2,1,0,1850,0
3,1,0,2260,1
3,1,700,2300,1
3,1,810,1440,1
4,2,1000,1750,1
4,2,0,3440,1
4,2,0,2730,1
4,1.5,940,1250,1
4,2,0,4100,1
3,1,0,1140,1
3,1,400,1460,1
4,1,630,1860,1
3,1,0,2200,1
2,1,0,1220,0
5,2,0,3720,1
4,1,1200,2790,1
3,1,0,1750,1
3,1,0,1910,1
3,1.5,0,1880,1
1,1,0,1790,0
3,1,200,1760,1
3,2,0,2050,1
2,1,0,3050,0
5,1,1200,2090,1
3,1.5,0,1380,1
4,1,1200,2940,1
3,1,1040,2560,1
2,1,200,1060,0
3,1,990,1160,1
4,1,920,1470,1
2,1,360,990,0
4,1,810,1840,1
3,1,0,1140,1
4,1.5,0,1740,1
2,1,0,2440,0
3,1,0,2390,1
3,1.5,550,1940,1
4,1,0,2820,1
4,1,1040,1340,1
4,1,1040,1340,1
3,1,0,1400,1
3,1.5,0,2260,1
4,1,0,2110,1
5,2,0,2890,1
3,2,0,1560,1
5,1,1270,2600,1
4,1,1320,2240,1
3,1,570,1460,1
3,2,0,1600,1
3,1,0,1200,1
2,1,400,2120,0
2,3,0,1050,0
2,1,0,860,0
5,2,0,4750,1
5,2,0,1320,1
2,2,240,1580,0
3,1,420,1140,1
4,2,0,2720,1
3,1,0,1490,1
4,2,0,3000,1
2,3,0,1910,0
3,1,0,1525,1
4,2,0,2960,1
3,2,0,2200,1
2,1,0,1270,0
4,2,0,2410,1
4,2,0,2360,1
3,1,0,1760,1
4,2,0,1160,1
2,1,0,1500,0
5,2,0,3160,1
3,1,490,1130,1
4,2,1420,1720,1
4,1.5,0,1550,1
3,1,0,1100,1
5,2,0,3950,1
4,2,0,5790,1
3,1.5,0,1690,1
4,1,1010,1650,1
3,1,700,760,1
2,1,0,1730,0
5,1,990,1380,1
5,1,990,1380,1
3,1,0,1500,1
3,1,1240,2040,1
3,1,670,1820,1
4,1,1960,3090,1
3,2,0,1660,1
7,1,1250,1850,1
3,1,140,1800,1
3,1,0,1420,1
2,2,0,1310,0
3,2,0,2490,1
4,1,1010,1250,1
5,1,840,1380,1
4,1.5,0,1710,1
4,2,0,2850,1
4,1,0,1530,1
3,1,0,1980,1
3,2,0,1840,1
4,2,0,2260,1
3,1.5,0,1440,1
1,1,0,1160,0
2,1,0,1370,0
4,1,600,1470,1
4,1,1560,2630,1
3,2,0,1860,1
4,2,0,2990,1
2,1,0,1560,0
3,1,0,1500,1
4,1,1050,2300,1
4,2,0,2230,1
3,2,0,1610,1
5,2,0,1140,1
4,2,440,3030,1
6,2,760,1940,1
6,1.5,0,2010,1
5,2,2020,3430,1
3,1,0,1860,1
3,1,340,2080,1
3,1,0,1190,1
2,1,0,880,0
4,1,1220,1370,1
4,2,860,1510,1
4,2,0,3470,1
3,2,0,2350,1
3,2,0,1970,1
3,1,0,1810,1
3,2,0,1550,1
3,2,0,2790,1
2,1,280,1550,0
4,2,960,1920,1
4,1,700,2420,1
4,2,0,3240,1
3,1,0,1710,1
4,2,0,2880,1
3,2,750,1650,1
4,1,960,3030,1
3,1,0,1840,1
3,1,0,2080,1
2,1,1250,2234,0
2,1,0,1270,0
3,2,0,1900,1
3,1,600,1790,1
4,1,0,1440,1
2,1,690,960,0
3,1.5,0,1710,1
2,1,0,890,0
6,1,1190,2360,1
5,1,400,1630,1
3,1,0,1200,1
2,1,0,1160,0
4,1,2110,3050,1
3,2,0,2210,1
3,1,550,2110,1
3,1,790,2180,1
3,1,790,2180,1
3,1,0,1250,1
4,1,420,2020,1
3,3,0,1340,1
3,1,970,1730,1
4,1,1250,3210,1
5,1.5,630,1830,1
4,1,840,1680,1
4,2,0,2480,1
3,1,300,1240,1
3,2,0,1520,1
4,2,960,2490,1
3,2,0,2090,1
4,2,0,2620,1
5,2,960,3890,1
2,1,0,1480,0
3,1,0,1550,1
4,2,1000,2780,1
4,1,990,2070,1
3,1,0,1440,1
3,2,0,2370,1
4,2,770,1390,1
4,1,770,1340,1
3,1,0,1350,1
4,1.5,0,1710,1
6,2,600,1720,1
4,2,0,2800,1
3,2,0,1640,1
3,1,820,1910,1
4,2,0,2330,1
3,1,0,1010,1
2,1,0,1930,0
2,1,0,1930,0
3,1,330,1440,1
3,1,0,2830,1
